Lyan,10,3350,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,Teniente coronel,22,12 de junio,Femenino,12,5,3500
Kazumi,8,3215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Comandante,22,18 de junio,Femenino,3,1,3484
Ania,7,2856,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Capitán,22,6 de junio,Femenino,3,4,3008
Luna,6,2151,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Teniente,20,5 de abril,Femenino,15,4,2548
Usagi,6,2007,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Suboficial mayor,14,30 de junio,Femenino,1,8,2489
Sakura,5,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Subteniente,14,1 de Abril,Femenino,5,1,2150
Misaki,4,1816,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,Sargento Primero,16,29 de Septiembre,Femenino,18,9,1989
Rei,2,1502,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Cabo Mayor,14,17 de abril,Femenino,7,4,1871
Emi,2,1496,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Cabo,14,10 de septiembre,Femenino,6,4,1455
Tanya,1,1254,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,Soldado,9,31 de octubre,Femenino,7,18,1300
